typeCode,partnerCode,partner2Code,partnerDesc,primaryValue
C,4,0,,282293666
C,8,0,,8542579
C,10,0,,496911
C,12,0,,578207721
C,16,0,,94358
C,20,0,,88356
C,24,0,,2001936255
C,28,0,,3008
C,31,0,,280718037
C,32,0,,2591844527
C,36,0,,8730657318
C,40,0,,905747887
C,44,0,,256570698
C,48,0,,322989322
C,50,0,,677098050
C,51,0,,1338576
C,52,0,,159375
C,56,0,,7479921914
C,60,0,,2068
C,64,0,,127330122
C,68,0,,128254474
C,70,0,,3785700
C,72,0,,1000775072
C,76,0,,3614718445
C,84,0,,385800
C,90,0,,60721712
C,92,0,,7884733
C,96,0,,461960205
C,100,0,,121651367
C,104,0,,1084934273
C,108,0,,1222356
C,112,0,,136269414
C,116,0,,43212592
C,120,0,,428991475
C,124,0,,3646860723
C,132,0,,1766632
C,136,0,,18910
C,140,0,,630625
C,144,0,,632272599
C,148,0,,140606766
C,152,0,,1218361414
C,156,0,,60483103314
C,162,0,,17564
C,170,0,,476320024
C,174,0,,23087133
C,178,0,,143342476
C,180,0,,60045664
C,188,0,,58287260
C,191,0,,28943977
C,192,0,,1179203
C,196,0,,67237000
C,203,0,,530210024
C,204,0,,207538992
C,208,0,,476699679
C,212,0,,750096
C,214,0,,637003394
C,218,0,,213319277
C,222,0,,4737189
C,226,0,,908756743
C,231,0,,70202056
C,232,0,,63169766
C,233,0,,87838253
C,234,0,,4245
C,242,0,,600081
C,246,0,,933530817
C,251,0,,3167272128
C,258,0,,4359
C,262,0,,2363441
C,266,0,,64463992
C,268,0,,30251100
C,270,0,,42526882
C,276,0,,11499371351
C,288,0,,1449129771
C,300,0,,95580561
C,304,0,,107740
C,320,0,,18015837
C,324,0,,254188348
C,328,0,,15735064
C,332,0,,3601822
C,334,0,,285
C,336,0,,20145
C,340,0,,20287189
C,344,0,,7119319062
C,348,0,,211600866
C,352,0,,2935586
C,360,0,,12189258700
C,364,0,,8253714509
C,368,0,,9974378430
C,372,0,,490354497
C,376,0,,2076419908
C,380,0,,3840871050
C,384,0,,448529464
C,388,0,,1300887
C,392,0,,9808530779
C,398,0,,320360774
C,400,0,,839704278
C,404,0,,126408923
C,408,0,,87441570
C,410,0,,12214045780
C,414,0,,4034768363
C,417,0,,1807568
C,418,0,,172412362
C,422,0,,29650860
C,426,0,,13603498
C,428,0,,39752528
C,430,0,,5899824
C,434,0,,5638335
C,440,0,,239104979
C,442,0,,48010724
C,446,0,,7678744
C,450,0,,127013437
C,454,0,,41998511
C,458,0,,8653350684
C,462,0,,6253292
C,466,0,,176791447
C,470,0,,28011091
C,478,0,,14253787
C,480,0,,18970117
C,484,0,,2442138331
C,490,0,,3106528483
C,496,0,,2353191
C,498,0,,3120486
C,499,0,,39816
C,500,0,,41
C,504,0,,840281100
C,508,0,,408410289
C,512,0,,1300262868
C,516,0,,35119091
C,520,0,,46034
C,524,0,,385311498
C,528,0,,1781383521
C,531,0,,111749275
C,533,0,,4235764
C,540,0,,41227498
C,548,0,,248130
C,554,0,,508743958
C,558,0,,2871426
C,562,0,,161842
C,566,0,,7407498104
C,574,0,,52451
C,579,0,,646577182
C,580,0,,29273
C,581,0,,491427
C,584,0,,8706074
C,586,0,,461079165
C,591,0,,53220758
C,598,0,,98188683
C,600,0,,160532305
C,604,0,,989574828
C,608,0,,475843978
C,612,0,,2915
C,616,0,,653938560
C,620,0,,130185765
C,624,0,,214737337
C,626,0,,31191
C,634,0,,7479482175
C,642,0,,321335484
C,643,0,,4782004793
C,646,0,,946922
C,659,0,,7737
C,660,0,,1141
C,662,0,,361055
C,674,0,,401861
C,678,0,,20671
C,682,0,,18460868532
C,686,0,,335517081
C,688,0,,25152308
C,690,0,,951102
C,694,0,,13307394
C,702,0,,6719479245
C,703,0,,69923477
C,704,0,,3105624994
C,705,0,,103188721
C,706,0,,17414139
C,710,0,,5092336126
C,716,0,,48435406
C,724,0,,1725772605
C,728,0,,116478
C,729,0,,170447989
C,740,0,,37358074
C,748,0,,30452570
C,752,0,,1191692220
C,757,0,,14855313963
C,760,0,,35694735
C,762,0,,14688501
C,764,0,,5316377865
C,768,0,,132263092
C,772,0,,10601
C,776,0,,49521
C,780,0,,154395950
C,784,0,,19240913198
C,788,0,,152010734
C,792,0,,1129743111
C,795,0,,21702273
C,796,0,,4790
C,798,0,,76667
C,800,0,,68202405
C,804,0,,1955996230
C,807,0,,20904199
C,818,0,,1022565117
C,826,0,,3863790871
C,834,0,,830586827
C,842,0,,20395235271
C,854,0,,175800173
C,858,0,,13588099
C,860,0,,46489470
C,862,0,,5079903155
C,882,0,,7793115
C,887,0,,4978539
C,894,0,,723016873
C,899,0,,8644858333
