
typeCode,freqCode,refPeriodId,refYear,refMonth,period,reporterCode,reporterISO,reporterDesc,flowCode,flowDesc,partnerCode,partnerISO,partnerDesc,partner2Code,partner2ISO,partner2Desc,classificationCode,classificationSearchCode,isOriginalClassification,cmdCode,cmdDesc,aggrLevel,isLeaf,customsCode,customsDesc,mosCode,motCode,motDesc,qtyUnitCode,qtyUnitAbbr,qty,isQtyEstimated,altQtyUnitCode,altQtyUnitAbbr,altQty,isAltQtyEstimated,netWgt,isNetWgtEstimated,grossWgt,isGrossWgtEstimated,cifvalue,fobvalue,primaryValue,legacyEstimationFlag,isReported,isAggregate
C,A,20250101,2025,52,2025,276,DEU,Germany,X,Export,0,W00,World,0,W00,World,H6,HS,True,69,Ceramic products,2,False,C03,Outright exportation,0,0,TOTAL MOT,-1,N/A,0,False,-1,N/A,0,False,,False,0,False,,4157103930.279,4157103930.279,0,False,True
C,A,20250101,2025,52,2025,276,DEU,Germany,X,Export,0,W00,World,0,W00,World,H6,HS,True,28,"Inorganic chemicals; organic and inorganic compounds of precious metals; of rare earth metals, of radio-active elements and of isotopes",2,False,C03,Outright exportation,0,1000,Air,-1,N/A,0,False,-1,N/A,0,False,,False,0,False,,1995821559.562,1995821559.562,0,False,True
C,A,20250101,2025,52,2025,276,DEU,Germany,X,Export,0,W00,World,0,W00,World,H6,HS,True,91,Clocks and watches and parts thereof,2,False,C03,Outright exportation,0,2100,Sea,-1,N/A,0,False,-1,N/A,0,False,,False,0,False,,30031864.805,30031864.805,0,False,True
C,A,20250101,2025,52,2025,276,DEU,Germany,X,Export,0,W00,World,0,W00,World,H6,HS,True,57,Carpets and other textile floor coverings,2,False,C20,CPC N.E.S.,0,9900,Other,-1,N/A,0,False,-1,N/A,0,False,0,False,0,False,,21992488.413,21992488.413,0,False,True
C,A,20250101,2025,52,2025,276,DEU,Germany,X,Export,0,W00,World,0,W00,World,H6,HS,True,09,"Coffee, tea, mate and spices",2,False,C20,CPC N.E.S.,0,9900,Other,-1,N/A,0,False,-1,N/A,0,False,0,False,0,False,,80696736.453,80696736.453,0,False,True
C,A,20250101,2025,52,2025,276,DEU,Germany,X,Export,0,W00,World,0,W00,World,H6,HS,True,26,"Ores, slag and ash",2,False,C20,CPC N.E.S.,0,9900,Other,-1,N/A,0,False,-1,N/A,0,False,0,False,0,False,,22670404.672,22670404.672,0,False,True
C,A,20250101,2025,52,2025,276,DEU,Germany,X,Export,0,W00,World,0,W00,World,H6,HS,True,99,Commodities not specified according to kind,2,False,C20,CPC N.E.S.,0,9900,Other,-1,N/A,0,False,-1,N/A,0,False,0,False,0,False,,14553919242.2,14553919242.2,0,False,True
C,A,20250101,2025,52,2025,276,DEU,Germany,X,Export,0,W00,World,0,W00,World,H6,HS,True,57,Carpets and other textile floor coverings,2,False,C20,CPC N.E.S.,0,0,TOTAL MOT,-1,N/A,0,False,-1,N/A,0,False,0,False,0,False,,21992488.413,21992488.413,0,False,True
C,A,20250101,2025,52,2025,276,DEU,Germany,X,Export,0,W00,World,0,W00,World,H6,HS,True,45,Cork and articles of cork,2,False,C20,CPC N.E.S.,0,0,TOTAL MOT,-1,N/A,0,False,-1,N/A,0,False,0,False,0,False,,1045661.239,1045661.239,0,False,True
C,A,20250101,2025,52,2025,276,DEU,Germany,X,Export,0,W00,World,0,W00,World,H6,HS,True,30,Pharmaceutical products,2,False,C20,CPC N.E.S.,0,0,TOTAL MOT,-1,N/A,0,False,-1,N/A,0,False,0,False,0,False,,1089084015.558,1089084015.558,0,False,True
C,A,20250101,2025,52,2025,276,DEU,Germany,X,Export,0,W00,World,0,W00,World,H6,HS,True,28,"Inorganic chemicals; organic and inorganic compounds of precious metals; of rare earth metals, of radio-active elements and of isotopes",2,False,C04,Customs warehouses,0,2100,Sea,-1,N/A,0,False,-1,N/A,0,False,0,True,0,False,,20555401.132,20555401.132,4,False,True
C,A,20250101,2025,52,2025,276,DEU,Germany,X,Export,0,W00,World,0,W00,World,H6,HS,True,60,Fabrics; knitted or crocheted,2,False,C04,Customs warehouses,0,2100,Sea,-1,N/A,0,False,-1,N/A,0,False,0,False,0,False,,4051.748,4051.748,0,False,True
C,A,20250101,2025,52,2025,276,DEU,Germany,X,Export,0,W00,World,0,W00,World,H6,HS,True,12,"Oil seeds and oleaginous fruits; miscellaneous grains, seeds and fruit, industrial or medicinal plants; straw and fodder",2,False,C04,Customs warehouses,0,2100,Sea,-1,N/A,0,False,-1,N/A,0,False,0,False,0,False,,1866621.497,1866621.497,0,False,True
C,A,20250101,2025,52,2025,276,DEU,Germany,X,Export,0,W00,World,0,W00,World,H6,HS,True,37,Photographic or cinematographic goods,2,False,C04,Customs warehouses,0,2100,Sea,-1,N/A,0,False,-1,N/A,0,False,0,False,0,False,,7144311.059,7144311.059,0,False,True
C,A,20250101,2025,52,2025,276,DEU,Germany,X,Export,0,W00,World,0,W00,World,H6,HS,True,07,Vegetables and certain roots and tubers; edible,2,False,C04,Customs warehouses,0,2100,Sea,-1,N/A,0,False,-1,N/A,0,False,0,False,0,False,,1519985.191,1519985.191,0,False,True
C,A,20250101,2025,52,2025,276,DEU,Germany,X,Export,0,W00,World,0,W00,World,H6,HS,True,74,Copper and articles thereof,2,False,C04,Customs warehouses,0,3100,Railway,-1,N/A,0,False,-1,N/A,0,False,0,False,0,False,,76740.196,76740.196,0,False,True
C,A,20250101,2025,52,2025,276,DEU,Germany,X,Export,0,W00,World,0,W00,World,H6,HS,True,29,Organic chemicals,2,False,C04,Customs warehouses,0,3100,Railway,-1,N/A,0,False,-1,N/A,0,False,0,False,0,False,,42967.244,42967.244,0,False,True
C,A,20250101,2025,52,2025,276,DEU,Germany,X,Export,0,W00,World,0,W00,World,H6,HS,True,35,Albuminoidal substances; modified starches; glues; enzymes,2,False,C04,Customs warehouses,0,9200,"Postal consignments, mail or courier shipment",-1,N/A,0,False,-1,N/A,0,False,0,False,0,False,,189.165,189.165,0,False,True
C,A,20250101,2025,52,2025,276,DEU,Germany,X,Export,0,W00,World,0,W00,World,H6,HS,True,10,Cereals,2,False,C04,Customs warehouses,0,3200,Road,-1,N/A,0,False,-1,N/A,0,False,0,False,0,False,,904974.429,904974.429,0,False,True
C,A,20250101,2025,52,2025,276,DEU,Germany,X,Export,0,W00,World,0,W00,World,H6,HS,True,72,Iron and steel,2,False,C04,Customs warehouses,0,3100,Railway,-1,N/A,0,False,-1,N/A,0,False,0,False,0,False,,8882.463,8882.463,0,False,True
