
typeCode,freqCode,refPeriodId,refYear,refMonth,period,reporterCode,reporterISO,reporterDesc,flowCode,flowDesc,partnerCode,partnerISO,partnerDesc,partner2Code,partner2ISO,partner2Desc,classificationCode,classificationSearchCode,isOriginalClassification,cmdCode,cmdDesc,aggrLevel,isLeaf,customsCode,customsDesc,mosCode,motCode,motDesc,qtyUnitCode,qtyUnitAbbr,qty,isQtyEstimated,altQtyUnitCode,altQtyUnitAbbr,altQty,isAltQtyEstimated,netWgt,isNetWgtEstimated,grossWgt,isGrossWgtEstimated,cifvalue,fobvalue,primaryValue,legacyEstimationFlag,isReported,isAggregate
C,A,20180101,2018,52,2018,97,EUR,European Union,M,Import,156,CHN,China,0,W00,World,H5,HS,True,64,Footwear; gaiters and the like; parts of such articles,2,False,C01,Clearance for home use,0,0,TOTAL MOT,-1,N/A,0,False,-1,N/A,0,False,0,True,0,False,10182578056.568,,10182578056.568,4,False,True
C,A,20180101,2018,52,2018,97,EUR,European Union,M,Import,699,IND,India,0,W00,World,H5,HS,True,59,"Textile fabrics; impregnated, coated, covered or laminated; textile articles of a kind suitable for industrial use",2,False,C01,Clearance for home use,0,0,TOTAL MOT,-1,N/A,0,False,-1,N/A,0,False,0,True,0,False,37795940.443,,37795940.443,4,False,True
C,A,20180101,2018,52,2018,97,EUR,European Union,M,Import,704,VNM,Viet Nam,0,W00,World,H5,HS,True,63,"Textiles, made up articles; sets; worn clothing and worn textile articles; rags",2,False,C07,Outward processing,0,0,TOTAL MOT,-1,N/A,0,False,-1,N/A,0,False,0,True,0,False,1586889.656,,1586889.656,4,False,True
C,A,20180101,2018,52,2018,97,EUR,European Union,M,Import,704,VNM,Viet Nam,0,W00,World,H5,HS,True,62,Apparel and clothing accessories; not knitted or crocheted,2,False,C00,TOTAL CPC,0,0,TOTAL MOT,-1,N/A,0,False,-1,N/A,0,False,0,True,0,False,2659019961.394,,2659019961.394,4,False,True
C,A,20180101,2018,52,2018,97,EUR,European Union,M,Import,704,VNM,Viet Nam,0,W00,World,H5,HS,True,62,Apparel and clothing accessories; not knitted or crocheted,2,False,C01,Clearance for home use,0,0,TOTAL MOT,-1,N/A,0,False,-1,N/A,0,False,0,True,0,False,2520512746.315,,2520512746.315,4,False,True
C,A,20180101,2018,52,2018,97,EUR,European Union,M,Import,0,W00,World,0,W00,World,H5,HS,True,62,Apparel and clothing accessories; not knitted or crocheted,2,False,C07,Outward processing,0,0,TOTAL MOT,-1,N/A,0,False,-1,N/A,0,False,0,True,0,False,1792713587.889,,1792713587.889,4,False,True
C,A,20180101,2018,52,2018,97,EUR,European Union,M,Import,50,BGD,Bangladesh,0,W00,World,H5,HS,True,85,"Electrical machinery and equipment and parts thereof; sound recorders and reproducers; television image and sound recorders and reproducers, parts and accessories of such articles",2,False,C06,Inward processing,0,0,TOTAL MOT,-1,N/A,0,False,-1,N/A,0,False,0,False,0,False,101299.617,,101299.617,0,False,True
C,A,20180101,2018,52,2018,97,EUR,European Union,M,Import,50,BGD,Bangladesh,0,W00,World,H5,HS,True,56,"Wadding, felt and nonwovens, special yarns; twine, cordage, ropes and cables and articles thereof",2,False,C07,Outward processing,0,0,TOTAL MOT,-1,N/A,0,False,-1,N/A,0,False,0,False,0,False,37.762,,37.762,0,False,True
C,A,20180101,2018,52,2018,97,EUR,European Union,M,Import,699,IND,India,0,W00,World,H5,HS,True,57,Carpets and other textile floor coverings,2,False,C07,Outward processing,0,0,TOTAL MOT,-1,N/A,0,False,-1,N/A,0,False,0,True,0,False,29389.315,,29389.315,4,False,True
C,A,20180101,2018,52,2018,97,EUR,European Union,M,Import,0,W00,World,0,W00,World,H5,HS,True,52,Cotton,2,False,C00,TOTAL CPC,0,0,TOTAL MOT,-1,N/A,0,False,-1,N/A,0,False,0,True,0,False,3547911173.133,,3547911173.133,4,False,True
