
typeCode,freqCode,refPeriodId,refYear,refMonth,period,reporterCode,reporterISO,reporterDesc,flowCode,flowDesc,partnerCode,partnerISO,partnerDesc,partner2Code,partner2ISO,partner2Desc,classificationCode,classificationSearchCode,isOriginalClassification,cmdCode,cmdDesc,aggrLevel,isLeaf,customsCode,customsDesc,mosCode,motCode,motDesc,qtyUnitCode,qtyUnitAbbr,qty,isQtyEstimated,altQtyUnitCode,altQtyUnitAbbr,altQty,isAltQtyEstimated,netWgt,isNetWgtEstimated,grossWgt,isGrossWgtEstimated,cifvalue,fobvalue,primaryValue,legacyEstimationFlag,isReported,isAggregate
C,A,20230101,2023,52,2023,842,USA,USA,M,Import,50,BGD,Bangladesh,0,W00,World,H6,HS,True,43,Furskins and artificial fur; manufactures thereof,2,False,C00,TOTAL CPC,0,0,TOTAL MOT,-1,N/A,0,False,-1,N/A,0,False,,False,0,False,317188,310346,317188,0,False,True
C,A,20230101,2023,52,2023,842,USA,USA,M,Import,458,MYS,Malaysia,0,W00,World,H6,HS,True,43,Furskins and artificial fur; manufactures thereof,2,False,C00,TOTAL CPC,0,0,TOTAL MOT,-1,N/A,0,False,-1,N/A,0,False,,False,0,False,24173,23148,24173,0,False,True
C,A,20230101,2023,52,2023,842,USA,USA,M,Import,410,KOR,Rep. of Korea,0,W00,World,H6,HS,True,43,Furskins and artificial fur; manufactures thereof,2,False,C00,TOTAL CPC,0,0,TOTAL MOT,-1,N/A,0,False,-1,N/A,0,False,,False,0,False,1068966,1052176,1068966,0,False,True
C,A,20230101,2023,52,2023,842,USA,USA,M,Import,704,VNM,Viet Nam,0,W00,World,H6,HS,True,43,Furskins and artificial fur; manufactures thereof,2,False,C00,TOTAL CPC,0,0,TOTAL MOT,-1,N/A,0,False,-1,N/A,0,False,,False,0,False,1564979,1536128,1564979,0,False,True
C,A,20230101,2023,52,2023,842,USA,USA,M,Import,0,W00,World,0,W00,World,H6,HS,True,85,"Electrical machinery and equipment and parts thereof; sound recorders and reproducers; television image and sound recorders and reproducers, parts and accessories of such articles",2,False,C00,TOTAL CPC,0,0,TOTAL MOT,-1,N/A,0,False,-1,N/A,0,False,,False,0,False,463363545006,455292803220,463363545006,0,False,True
C,A,20230101,2023,52,2023,842,USA,USA,M,Import,0,W00,World,0,W00,World,H6,HS,True,42,"Articles of leather; saddlery and harness; travel goods, handbags and similar containers; articles of animal gut (other than silk-worm gut)",2,False,C00,TOTAL CPC,0,0,TOTAL MOT,-1,N/A,0,False,-1,N/A,0,False,,False,0,False,13924378530,13272212305,13924378530,0,False,True
C,A,20230101,2023,52,2023,842,USA,USA,M,Import,0,W00,World,0,W00,World,H6,HS,True,43,Furskins and artificial fur; manufactures thereof,2,False,C00,TOTAL CPC,0,0,TOTAL MOT,-1,N/A,0,False,-1,N/A,0,False,,False,0,False,159234827,154530436,159234827,0,False,True
C,A,20230101,2023,52,2023,842,USA,USA,M,Import,0,W00,World,0,W00,World,H6,HS,True,52,Cotton,2,False,C00,TOTAL CPC,0,0,TOTAL MOT,-1,N/A,0,False,-1,N/A,0,False,,False,0,False,815339004,779886397,815339004,0,False,True
C,A,20230101,2023,52,2023,842,USA,USA,M,Import,0,W00,World,0,W00,World,H6,HS,True,59,"Textile fabrics; impregnated, coated, covered or laminated; textile articles of a kind suitable for industrial use",2,False,C00,TOTAL CPC,0,0,TOTAL MOT,-1,N/A,0,False,-1,N/A,0,False,,False,0,False,2992546145,2884628919,2992546145,0,False,True
C,A,20230101,2023,52,2023,842,USA,USA,M,Import,699,IND,India,0,W00,World,H6,HS,True,54,Man-made filaments; strip and the like of man-made textile materials,2,False,C00,TOTAL CPC,0,0,TOTAL MOT,-1,N/A,0,False,-1,N/A,0,False,0,True,0,False,274348405,254630388,274348405,4,False,True
C,A,20230101,2023,52,2023,842,USA,USA,M,Import,699,IND,India,0,W00,World,H6,HS,True,57,Carpets and other textile floor coverings,2,False,C00,TOTAL CPC,0,0,TOTAL MOT,-1,N/A,0,False,-1,N/A,0,False,0,True,0,False,1174026349,1091905149,1174026349,4,False,True
C,A,20230101,2023,52,2023,842,USA,USA,M,Import,484,MEX,Mexico,0,W00,World,H6,HS,True,43,Furskins and artificial fur; manufactures thereof,2,False,C00,TOTAL CPC,0,0,TOTAL MOT,-1,N/A,0,False,-1,N/A,0,False,0,True,0,False,115898,109730,115898,4,False,True
C,A,20230101,2023,52,2023,842,USA,USA,M,Import,699,IND,India,0,W00,World,H6,HS,True,43,Furskins and artificial fur; manufactures thereof,2,False,C00,TOTAL CPC,0,0,TOTAL MOT,-1,N/A,0,False,-1,N/A,0,False,0,True,0,False,5742592,5436726,5742592,4,False,True
C,A,20230101,2023,52,2023,842,USA,USA,M,Import,699,IND,India,0,W00,World,H6,HS,True,52,Cotton,2,False,C00,TOTAL CPC,0,0,TOTAL MOT,-1,N/A,0,False,-1,N/A,0,False,0,True,0,False,111213113,105230038,111213113,4,False,True
C,A,20230101,2023,52,2023,842,USA,USA,M,Import,699,IND,India,0,W00,World,H6,HS,True,63,"Textiles, made up articles; sets; worn clothing and worn textile articles; rags",2,False,C00,TOTAL CPC,0,0,TOTAL MOT,-1,N/A,0,False,-1,N/A,0,False,0,True,0,False,2922044158,2736558336,2922044158,4,False,True
C,A,20230101,2023,52,2023,842,USA,USA,M,Import,50,BGD,Bangladesh,0,W00,World,H6,HS,True,56,"Wadding, felt and nonwovens, special yarns; twine, cordage, ropes and cables and articles thereof",2,False,C00,TOTAL CPC,0,0,TOTAL MOT,-1,N/A,0,False,-1,N/A,0,False,0,True,0,False,7705240,7481952,7705240,4,False,True
C,A,20230101,2023,52,2023,842,USA,USA,M,Import,458,MYS,Malaysia,0,W00,World,H6,HS,True,41,Raw hides and skins (other than furskins) and leather,2,False,C00,TOTAL CPC,0,0,TOTAL MOT,-1,N/A,0,False,-1,N/A,0,False,0,True,0,False,53198,53196,53198,4,False,True
C,A,20230101,2023,52,2023,842,USA,USA,M,Import,699,IND,India,0,W00,World,H6,HS,True,41,Raw hides and skins (other than furskins) and leather,2,False,C00,TOTAL CPC,0,0,TOTAL MOT,-1,N/A,0,False,-1,N/A,0,False,0,True,0,False,5240391,4994185,5240391,4,False,True
C,A,20230101,2023,52,2023,842,USA,USA,M,Import,764,THA,Thailand,0,W00,World,H6,HS,True,41,Raw hides and skins (other than furskins) and leather,2,False,C00,TOTAL CPC,0,0,TOTAL MOT,-1,N/A,0,False,-1,N/A,0,False,0,True,0,False,5144218,4952560,5144218,4,False,True
C,A,20230101,2023,52,2023,842,USA,USA,M,Import,704,VNM,Viet Nam,0,W00,World,H6,HS,True,41,Raw hides and skins (other than furskins) and leather,2,False,C00,TOTAL CPC,0,0,TOTAL MOT,-1,N/A,0,False,-1,N/A,0,False,0,True,0,False,2224407,2142335,2224407,4,False,True
C,A,20230101,2023,52,2023,842,USA,USA,M,Import,484,MEX,Mexico,0,W00,World,H6,HS,True,53,Vegetable textile fibres; paper yarn and woven fabrics of paper yarn,2,False,C00,TOTAL CPC,0,0,TOTAL MOT,-1,N/A,0,False,-1,N/A,0,False,0,True,0,False,660529,587434,660529,4,False,True
C,A,20230101,2023,52,2023,842,USA,USA,M,Import,484,MEX,Mexico,0,W00,World,H6,HS,True,41,Raw hides and skins (other than furskins) and leather,2,False,C00,TOTAL CPC,0,0,TOTAL MOT,-1,N/A,0,False,-1,N/A,0,False,0,True,0,False,77208689,76253112,77208689,4,False,True
C,A,20230101,2023,52,2023,842,USA,USA,M,Import,410,KOR,Rep. of Korea,0,W00,World,H6,HS,True,41,Raw hides and skins (other than furskins) and leather,2,False,C00,TOTAL CPC,0,0,TOTAL MOT,-1,N/A,0,False,-1,N/A,0,False,0,True,0,False,3890162,3778503,3890162,4,False,True
C,A,20230101,2023,52,2023,842,USA,USA,M,Import,392,JPN,Japan,0,W00,World,H6,HS,True,41,Raw hides and skins (other than furskins) and leather,2,False,C00,TOTAL CPC,0,0,TOTAL MOT,-1,N/A,0,False,-1,N/A,0,False,0,True,0,False,271868,257543,271868,4,False,True
C,A,20230101,2023,52,2023,842,USA,USA,M,Import,392,JPN,Japan,0,W00,World,H6,HS,True,55,Man-made staple fibres,2,False,C00,TOTAL CPC,0,0,TOTAL MOT,-1,N/A,0,False,-1,N/A,0,False,0,True,0,False,120556900,116896268,120556900,4,False,True
C,A,20230101,2023,52,2023,842,USA,USA,M,Import,764,THA,Thailand,0,W00,World,H6,HS,True,43,Furskins and artificial fur; manufactures thereof,2,False,C00,TOTAL CPC,0,0,TOTAL MOT,-1,N/A,0,False,-1,N/A,0,False,0,True,0,False,1875254,1826589,1875254,4,False,True
C,A,20230101,2023,52,2023,842,USA,USA,M,Import,764,THA,Thailand,0,W00,World,H6,HS,True,63,"Textiles, made up articles; sets; worn clothing and worn textile articles; rags",2,False,C00,TOTAL CPC,0,0,TOTAL MOT,-1,N/A,0,False,-1,N/A,0,False,0,True,0,False,73019063,69096607,73019063,4,False,True
C,A,20230101,2023,52,2023,842,USA,USA,M,Import,156,CHN,China,0,W00,World,H6,HS,True,43,Furskins and artificial fur; manufactures thereof,2,False,C00,TOTAL CPC,0,0,TOTAL MOT,-1,N/A,0,False,-1,N/A,0,False,0,True,0,False,14747269,13969183,14747269,4,False,True
C,A,20230101,2023,52,2023,842,USA,USA,M,Import,156,CHN,China,0,W00,World,H6,HS,True,52,Cotton,2,False,C00,TOTAL CPC,0,0,TOTAL MOT,-1,N/A,0,False,-1,N/A,0,False,0,True,0,False,50201375,46677202,50201375,4,False,True
C,A,20230101,2023,52,2023,842,USA,USA,M,Import,156,CHN,China,0,W00,World,H6,HS,True,59,"Textile fabrics; impregnated, coated, covered or laminated; textile articles of a kind suitable for industrial use",2,False,C00,TOTAL CPC,0,0,TOTAL MOT,-1,N/A,0,False,-1,N/A,0,False,0,True,0,False,355769962,332482439,355769962,4,False,True
C,A,20230101,2023,52,2023,842,USA,USA,M,Import,0,W00,World,0,W00,World,H6,HS,True,51,"Wool, fine or coarse animal hair; horsehair yarn and woven fabric",2,False,C00,TOTAL CPC,0,0,TOTAL MOT,-1,N/A,0,False,-1,N/A,0,False,0,True,0,False,250767024,241516681,250767024,4,False,True
C,A,20230101,2023,52,2023,842,USA,USA,M,Import,0,W00,World,0,W00,World,H6,HS,True,60,Fabrics; knitted or crocheted,2,False,C00,TOTAL CPC,0,0,TOTAL MOT,-1,N/A,0,False,-1,N/A,0,False,0,True,0,False,886594032,844912985,886594032,4,False,True
C,A,20230101,2023,52,2023,842,USA,USA,M,Import,0,W00,World,0,W00,World,H6,HS,True,62,Apparel and clothing accessories; not knitted or crocheted,2,False,C00,TOTAL CPC,0,0,TOTAL MOT,-1,N/A,0,False,-1,N/A,0,False,0,True,0,False,36346897291,35059624990,36346897291,4,False,True
C,A,20230101,2023,52,2023,842,USA,USA,M,Import,0,W00,World,0,W00,World,H6,HS,True,63,"Textiles, made up articles; sets; worn clothing and worn textile articles; rags",2,False,C00,TOTAL CPC,0,0,TOTAL MOT,-1,N/A,0,False,-1,N/A,0,False,0,True,0,False,16829264824,15755082279,16829264824,4,False,True
C,A,20230101,2023,52,2023,842,USA,USA,M,Import,392,JPN,Japan,0,W00,World,H6,HS,True,43,Furskins and artificial fur; manufactures thereof,2,False,C00,TOTAL CPC,0,0,TOTAL MOT,-1,N/A,0,False,-1,N/A,0,False,0,True,0,False,61826,61634,61826,4,False,True
C,A,20230101,2023,52,2023,842,USA,USA,M,Import,392,JPN,Japan,0,W00,World,H6,HS,True,52,Cotton,2,False,C00,TOTAL CPC,0,0,TOTAL MOT,-1,N/A,0,False,-1,N/A,0,False,0,True,0,False,33507105,31912088,33507105,4,False,True
C,A,20230101,2023,52,2023,842,USA,USA,M,Import,392,JPN,Japan,0,W00,World,H6,HS,True,59,"Textile fabrics; impregnated, coated, covered or laminated; textile articles of a kind suitable for industrial use",2,False,C00,TOTAL CPC,0,0,TOTAL MOT,-1,N/A,0,False,-1,N/A,0,False,0,True,0,False,209966012,205150138,209966012,4,False,True
C,A,20230101,2023,52,2023,842,USA,USA,M,Import,410,KOR,Rep. of Korea,0,W00,World,H6,HS,True,63,"Textiles, made up articles; sets; worn clothing and worn textile articles; rags",2,False,C00,TOTAL CPC,0,0,TOTAL MOT,-1,N/A,0,False,-1,N/A,0,False,0,True,0,False,110642232,108046226,110642232,4,False,True
C,A,20230101,2023,52,2023,842,USA,USA,M,Import,704,VNM,Viet Nam,0,W00,World,H6,HS,True,60,Fabrics; knitted or crocheted,2,False,C00,TOTAL CPC,0,0,TOTAL MOT,-1,N/A,0,False,-1,N/A,0,False,0,True,0,False,7340376,7173562,7340376,4,False,True
C,A,20230101,2023,52,2023,842,USA,USA,M,Import,704,VNM,Viet Nam,0,W00,World,H6,HS,True,63,"Textiles, made up articles; sets; worn clothing and worn textile articles; rags",2,False,C00,TOTAL CPC,0,0,TOTAL MOT,-1,N/A,0,False,-1,N/A,0,False,0,True,0,False,375029095,349886253,375029095,4,False,True
