
typeCode,freqCode,refPeriodId,refYear,refMonth,period,reporterCode,reporterISO,reporterDesc,flowCode,flowDesc,partnerCode,partnerISO,partnerDesc,partner2Code,partner2ISO,partner2Desc,classificationCode,classificationSearchCode,isOriginalClassification,cmdCode,cmdDesc,aggrLevel,isLeaf,customsCode,customsDesc,mosCode,motCode,motDesc,qtyUnitCode,qtyUnitAbbr,qty,isQtyEstimated,altQtyUnitCode,altQtyUnitAbbr,altQty,isAltQtyEstimated,netWgt,isNetWgtEstimated,grossWgt,isGrossWgtEstimated,cifvalue,fobvalue,primaryValue,legacyEstimationFlag,isReported,isAggregate
C,A,20250101,2025,52,2025,392,JPN,Japan,M,Import,0,W00,World,0,W00,World,H6,HS,True,06,"Trees and other plants, live; bulbs, roots and the like; cut flowers and ornamental foliage",2,False,C00,TOTAL CPC,0,0,TOTAL MOT,-1,N/A,0,False,-1,N/A,0,False,,False,0,False,527137211.542,,527137211.542,0,False,True
C,A,20250101,2025,52,2025,392,JPN,Japan,M,Import,0,W00,World,0,W00,World,H6,HS,True,26,"Ores, slag and ash",2,False,C00,TOTAL CPC,0,0,TOTAL MOT,-1,N/A,0,False,-1,N/A,0,False,,False,0,False,25690419080.345,,25690419080.345,0,False,True
C,A,20250101,2025,52,2025,392,JPN,Japan,M,Import,0,W00,World,0,W00,World,H6,HS,True,28,"Inorganic chemicals; organic and inorganic compounds of precious metals; of rare earth metals, of radio-active elements and of isotopes",2,False,C00,TOTAL CPC,0,0,TOTAL MOT,-1,N/A,0,False,-1,N/A,0,False,,False,0,False,7317684086.945,,7317684086.945,0,False,True
C,A,20250101,2025,52,2025,392,JPN,Japan,M,Import,0,W00,World,0,W00,World,H6,HS,True,37,Photographic or cinematographic goods,2,False,C00,TOTAL CPC,0,0,TOTAL MOT,-1,N/A,0,False,-1,N/A,0,False,,False,0,False,279620624.508,,279620624.508,0,False,True
C,A,20250101,2025,52,2025,392,JPN,Japan,M,Import,0,W00,World,0,W00,World,H6,HS,True,72,Iron and steel,2,False,C00,TOTAL CPC,0,0,TOTAL MOT,-1,N/A,0,False,-1,N/A,0,False,,False,0,False,7154665482.423,,7154665482.423,0,False,True
C,A,20250101,2025,52,2025,392,JPN,Japan,M,Import,0,W00,World,0,W00,World,H6,HS,True,96,Miscellaneous manufactured articles,2,False,C00,TOTAL CPC,0,0,TOTAL MOT,-1,N/A,0,False,-1,N/A,0,False,,False,0,False,1394453114.984,,1394453114.984,0,False,True
C,A,20250101,2025,52,2025,392,JPN,Japan,M,Import,0,W00,World,0,W00,World,H6,HS,True,38,Chemical products n.e.c.,2,False,C00,TOTAL CPC,0,0,TOTAL MOT,-1,N/A,0,False,-1,N/A,0,False,,False,0,False,7107613365.476,,7107613365.476,0,False,True
C,A,20250101,2025,52,2025,392,JPN,Japan,M,Import,0,W00,World,0,W00,World,H6,HS,True,91,Clocks and watches and parts thereof,2,False,C00,TOTAL CPC,0,0,TOTAL MOT,-1,N/A,0,False,-1,N/A,0,False,,False,0,False,3578100684.921,,3578100684.921,0,False,True
C,A,20250101,2025,52,2025,392,JPN,Japan,M,Import,0,W00,World,0,W00,World,H6,HS,True,85,"Electrical machinery and equipment and parts thereof; sound recorders and reproducers; television image and sound recorders and reproducers, parts and accessories of such articles",2,False,C00,TOTAL CPC,0,0,TOTAL MOT,-1,N/A,0,False,-1,N/A,0,False,,False,0,False,113996816712.123,,113996816712.123,0,False,True
C,A,20250101,2025,52,2025,392,JPN,Japan,M,Import,0,W00,World,0,W00,World,H6,HS,True,44,Wood and articles of wood; wood charcoal,2,False,C00,TOTAL CPC,0,0,TOTAL MOT,-1,N/A,0,False,-1,N/A,0,False,,False,0,False,9946092905.73,,9946092905.73,0,False,True
C,A,20250101,2025,52,2025,392,JPN,Japan,M,Import,0,W00,World,0,W00,World,H6,HS,True,01,Animals; live,2,False,C00,TOTAL CPC,0,0,TOTAL MOT,-1,N/A,0,False,-1,N/A,0,False,,False,0,False,307199665.752,,307199665.752,0,False,True
C,A,20250101,2025,52,2025,392,JPN,Japan,M,Import,0,W00,World,0,W00,World,H6,HS,True,03,"Fish and crustaceans, molluscs and other aquatic invertebrates",2,False,C00,TOTAL CPC,0,0,TOTAL MOT,-1,N/A,0,False,-1,N/A,0,False,0,True,0,False,10081363779.536,,10081363779.536,4,False,True
C,A,20250101,2025,52,2025,392,JPN,Japan,M,Import,0,W00,World,0,W00,World,H6,HS,True,05,Animal originated products; not elsewhere specified or included,2,False,C00,TOTAL CPC,0,0,TOTAL MOT,-1,N/A,0,False,-1,N/A,0,False,0,True,0,False,510843754.626,,510843754.626,4,False,True
C,A,20250101,2025,52,2025,392,JPN,Japan,M,Import,699,IND,India,0,W00,World,H6,HS,True,06,"Trees and other plants, live; bulbs, roots and the like; cut flowers and ornamental foliage",2,False,C00,TOTAL CPC,0,0,TOTAL MOT,-1,N/A,0,False,-1,N/A,0,False,0,True,0,False,2593770.198,,2593770.198,4,False,True
C,A,20250101,2025,52,2025,392,JPN,Japan,M,Import,0,W00,World,0,W00,World,H6,HS,True,09,"Coffee, tea, mate and spices",2,False,C00,TOTAL CPC,0,0,TOTAL MOT,-1,N/A,0,False,-1,N/A,0,False,0,True,0,False,3135768452.639,,3135768452.639,4,False,True
C,A,20250101,2025,52,2025,392,JPN,Japan,M,Import,0,W00,World,0,W00,World,H6,HS,True,11,"Products of the milling industry; malt, starches, inulin, wheat gluten",2,False,C00,TOTAL CPC,0,0,TOTAL MOT,-1,N/A,0,False,-1,N/A,0,False,0,True,0,False,618583799.223,,618583799.223,4,False,True
C,A,20250101,2025,52,2025,392,JPN,Japan,M,Import,0,W00,World,0,W00,World,H6,HS,True,12,"Oil seeds and oleaginous fruits; miscellaneous grains, seeds and fruit, industrial or medicinal plants; straw and fodder",2,False,C00,TOTAL CPC,0,0,TOTAL MOT,-1,N/A,0,False,-1,N/A,0,False,0,True,0,False,5191128109.549,,5191128109.549,4,False,True
C,A,20250101,2025,52,2025,392,JPN,Japan,M,Import,699,IND,India,0,W00,World,H6,HS,True,12,"Oil seeds and oleaginous fruits; miscellaneous grains, seeds and fruit, industrial or medicinal plants; straw and fodder",2,False,C00,TOTAL CPC,0,0,TOTAL MOT,-1,N/A,0,False,-1,N/A,0,False,0,True,0,False,12767944.909,,12767944.909,4,False,True
C,A,20250101,2025,52,2025,392,JPN,Japan,M,Import,0,W00,World,0,W00,World,H6,HS,True,14,Vegetable plaiting materials; vegetable products not elsewhere specified or included,2,False,C00,TOTAL CPC,0,0,TOTAL MOT,-1,N/A,0,False,-1,N/A,0,False,0,True,0,False,612419566.102,,612419566.102,4,False,True
